"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",10.6983891063382,0.110563021121758,96.7628145268987,0
"2","substrateMixed sediment",-0.0994688909575543,0.146070648796205,-0.680964257893668,0.495968763687476
"3","substrateMud",0.0742168310404652,0.310062041885581,0.239361227801798,0.810848719542275
"4","substratemuddy Sand",0.20887035602326,0.0764473940225451,2.73221028255931,0.00634348035743305
"5","substrateRock & boulders",-0.229480516611805,0.245744013447616,-0.93381935694935,0.35050383822428
"6","substrateSand",0.122783158428343,0.0520813879775669,2.35752469733006,0.0184879941237968
"7","substratesandy Mud",0.0954783604767136,0.138686185922694,0.688448960085575,0.491245718703077
