"","term","edf","ref.df","statistic","p.value"
"1","s(Year):substrateCoarse-grained sediment",2.23573642274106,2.80524602682312,4.08788377841654,0.0125480117514638
"2","s(Year):substrateMixed sediment",1.00486612310079,1.00970086177398,0.0612605107243358,0.812251512557025
"3","s(Year):substrateMud",4.05505298692733,5.00744294827195,3.27160614637258,0.00597053190352631
"4","s(Year):substratemuddy Sand",5.22825853445584,6.34456230081746,6.59741658187657,6.72399910306432e-07
"5","s(Year):substrateRock & boulders",1.02519543460863,1.04989513336215,3.93453663743389,0.0471915876135445
"6","s(Year):substrateSand",5.06182868219337,6.16285034084157,5.22355481718984,2.29860427006234e-05
"7","s(Year):substratesandy Mud",6.96607371534106,8.03817777862338,4.78463163687726,5.49275336403365e-06
"8","s(Site)",71.5994216498651,73,32.3566817524786,0
