Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1905,Va,MUR,Surmullet,Mullus surmuletus,
BEL,1905,Va,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,21
BEL,1905,Va,PLE,European plaice,Pleuronectes platessa,44
BEL,1905,Va,POK,Saithe(=Pollock),Pollachius virens,123
BEL,1905,Va,POL,Pollack,Pollachius pollachius,
BEL,1905,Va,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,1
BEL,1905,Va,SOL,Common sole,Solea solea,
BEL,1905,Va,SPR,European sprat,Sprattus sprattus,
BEL,1905,Va,TUR,Turbot,Psetta maxima,P
BEL,1905,Va,WHG,Whiting,Merlangius merlangus,41
BEL,1905,Vb,BLL,Brill,Scophthalmus rhombus,
BEL,1905,Vb,COD,Atlantic cod,Gadus morhua,23
BEL,1905,Vb,COE,European conger,Conger conger,
BEL,1905,Vb,DAB,Common dab,Limanda limanda,P
BEL,1905,Vb,DGZ,Dogfishes nei,Squalus spp,
BEL,1905,Vb,FIN,Finfishes nei,Osteichthyes,
BEL,1905,Vb,FLE,European flounder,Platichthys flesus,
BEL,1905,Vb,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1905,Vb,HAD,Haddock,Melanogrammus aeglefinus,23
BEL,1905,Vb,HAL,Atlantic halibut,Hippoglossus hippoglossus,1
BEL,1905,Vb,HKE,European hake,Merluccius merluccius,
BEL,1905,Vb,HOM,Atlantic horse mackerel,Trachurus trachurus,
BEL,1905,Vb,JOD,John dory,Zeus faber,
BEL,1905,Vb,LEM,Lemon sole,Microstomus kitt,1
BEL,1905,Vb,LIN,Ling,Molva molva,
BEL,1905,Vb,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1905,Vb,MUR,Surmullet,Mullus surmuletus,
BEL,1905,Vb,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,1
BEL,1905,Vb,PLE,European plaice,Pleuronectes platessa,P
BEL,1905,Vb,POK,Saithe(=Pollock),Pollachius virens,5
BEL,1905,Vb,POL,Pollack,Pollachius pollachius,
BEL,1905,Vb,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,
BEL,1905,Vb,SOL,Common sole,Solea solea,
BEL,1905,Vb,SPR,European sprat,Sprattus sprattus,
BEL,1905,Vb,TUR,Turbot,Psetta maxima,
BEL,1905,Vb,WHG,Whiting,Merlangius merlangus,
BEL,1905,VI,BLL,Brill,Scophthalmus rhombus,
BEL,1905,VI,COD,Atlantic cod,Gadus morhua,5
BEL,1905,VI,COE,European conger,Conger conger,
BEL,1905,VI,DAB,Common dab,Limanda limanda,5
